category,semantic_score
Accountant,0.33943486
Accountant,0.45569977
Accountant,0.37322983
Advocate,0.29589635
Advocate,0.46326914
Advocate,0.34269977
Agriculture,0.26974893
Agriculture,0.3638517
Agriculture,0.23757
Apparel,0.32578242
Apparel,0.3673992
Apparel,0.3114621
Architecture,0.3838915
Architecture,0.24331973
Architecture,0.2724638
Arts,0.24244691
Arts,0.28658706
Arts,0.1140447
Automobile,0.33993402
Automobile,0.31250337
Automobile,0.28810856
Aviation,0.28193536
Aviation,0.3463427
Aviation,0.2851317
BPO,0.282849
BPO,0.3450017
BPO,0.48157588
Banking,0.29948112
Banking,0.27805713
Banking,0.4792582
Blockchain,0.2878579
Blockchain,0.31925884
Blockchain,0.37913874
Building and Construction,0.43380117
Building and Construction,0.37383556
Building and Construction,0.36272982
Business Analyst,0.49097526
Business Analyst,0.45921502
Business Analyst,0.44288173
Civil Engineer,0.30006573
Civil Engineer,0.20084356
Civil Engineer,0.2676829
Consultant,0.12614827
Consultant,0.49031988
Consultant,0.38167155
Data Science,0.21308064
Data Science,0.25862905
Data Science,0.3135878
Database,0.43056142
Database,0.5250675
Database,0.44757476
Designing,0.27127963
Designing,0.13240941
Designing,0.35039964
DevOps,0.36240077
DevOps,0.40057835
DevOps,0.39134303
Digital Media,0.30044195
Digital Media,0.41804537
Digital Media,0.35376725
DotNet Developer,0.45121655
DotNet Developer,0.3787284
DotNet Developer,0.5957534
ETL Developer,0.3825687
ETL Developer,0.3822337
ETL Developer,0.5402389
Education,0.2562587
Education,0.21002595
Education,0.1579318
Electrical Engineering,0.4251882
Electrical Engineering,0.28363827
Electrical Engineering,0.38097587
Finance,0.32542723
Finance,0.32905224
Finance,0.413417
Food and Beverages,0.38031256
Food and Beverages,0.2584056
Food and Beverages,0.27812624
Health and Fitness,0.21961856
Health and Fitness,0.29109445
Health and Fitness,0.16977464
Human Resources,0.35371086
Human Resources,0.24179137
Human Resources,0.42994714
Information Technology,0.42937446
Information Technology,0.47345242
Information Technology,0.48562622
Java Developer,0.44680318
Java Developer,0.5421107
Java Developer,0.50031346
Management,0.307237
Management,0.3340942
Management,0.37180614
Mechanical Engineer,0.352834
Mechanical Engineer,0.49188438
Mechanical Engineer,0.45729446
Network Security Engineer,0.29745877
Network Security Engineer,0.49891087
Network Security Engineer,0.4636054
Operations Manager,0.3741564
Operations Manager,0.3643916
Operations Manager,0.39665607
PMO,0.3413706
PMO,0.36995563
PMO,0.46864474
Public Relations,0.23735428
Public Relations,0.35866043
Public Relations,0.17289893
Python Developer,0.46742895
Python Developer,0.41257283
Python Developer,0.46078253
React Developer,0.5279208
React Developer,0.46910986
React Developer,0.36358893
SAP Developer,0.39104214
SAP Developer,0.5096869
SAP Developer,0.43239412
SQL Developer,0.41655818
SQL Developer,0.5603624
SQL Developer,0.410647
Sales,0.39575303
Sales,0.3200646
Sales,0.3417566
Testing,0.2599291
Testing,0.28330973
Testing,0.23983079
Web Designing,0.44230008
Web Designing,0.43645564
Web Designing,0.16858168
Accountant,0.37028676
Accountant,0.4350669
Accountant,0.39872077
Advocate,0.3690831
Advocate,0.41895232
Advocate,0.35622513
Agriculture,0.27127016
Agriculture,0.3916307
Agriculture,0.2908111
Apparel,0.36401066
Apparel,0.36412996
Apparel,0.38313377
Architecture,0.40109488
Architecture,0.27919525
Architecture,0.36390433
Arts,0.25700837
Arts,0.31674194
Arts,0.20171212
Automobile,0.35531202
Automobile,0.33570534
Automobile,0.41779068
Aviation,0.34752786
Aviation,0.30930904
Aviation,0.38171232
BPO,0.3313692
BPO,0.3977568
BPO,0.4203911
Banking,0.40153992
Banking,0.3388535
Banking,0.40065953
Blockchain,0.30611536
Blockchain,0.39567423
Blockchain,0.3062242
Building and Construction,0.4020458
Building and Construction,0.40111557
Building and Construction,0.35126084
Business Analyst,0.3973518
Business Analyst,0.3830183
Business Analyst,0.37983564
Civil Engineer,0.41012022
Civil Engineer,0.23081574
Civil Engineer,0.2731114
Consultant,0.214816
Consultant,0.4376725
Consultant,0.42912033
Data Science,0.2984145
Data Science,0.32879272
Data Science,0.35918444
Database,0.39432207
Database,0.40354398
Database,0.339731
Designing,0.22898468
Designing,0.2544964
Designing,0.324423
DevOps,0.3160644
DevOps,0.39167818
DevOps,0.40104738
Digital Media,0.27527413
Digital Media,0.34911108
Digital Media,0.34777844
DotNet Developer,0.35944703
DotNet Developer,0.3670694
DotNet Developer,0.34256652
ETL Developer,0.3393192
ETL Developer,0.32853502
ETL Developer,0.38675153
Education,0.2900697
Education,0.25684345
Education,0.25655174
Electrical Engineering,0.3998998
Electrical Engineering,0.3214071
Electrical Engineering,0.40712324
Finance,0.40851247
Finance,0.36729023
Finance,0.38933325
Food and Beverages,0.3542275
Food and Beverages,0.35627332
Food and Beverages,0.36762062
Health and Fitness,0.2914486
Health and Fitness,0.35911706
Health and Fitness,0.30468747
Human Resources,0.4492861
Human Resources,0.34623703
Human Resources,0.43097764
Information Technology,0.4110501
Information Technology,0.4448372
Information Technology,0.45216757
Java Developer,0.34918982
Java Developer,0.2935223
Java Developer,0.33696604
Management,0.36731714
Management,0.3749758
Management,0.3380379
Mechanical Engineer,0.32600075
Mechanical Engineer,0.36858732
Mechanical Engineer,0.39844257
Network Security Engineer,0.35162485
Network Security Engineer,0.45301268
Network Security Engineer,0.4102996
Operations Manager,0.3745496
Operations Manager,0.4159088
Operations Manager,0.45781466
PMO,0.3580422
PMO,0.38651088
PMO,0.4147196
Public Relations,0.3016198
Public Relations,0.42273182
Public Relations,0.27047247
Python Developer,0.37432405
Python Developer,0.25373572
Python Developer,0.37411514
React Developer,0.31695387
React Developer,0.33744922
React Developer,0.43948776
SAP Developer,0.38364804
SAP Developer,0.41998386
SAP Developer,0.38923204
SQL Developer,0.3168936
SQL Developer,0.3841693
SQL Developer,0.3783414
Sales,0.42872432
Sales,0.36712658
Sales,0.35175067
Testing,0.31397232
Testing,0.32188588
Testing,0.30545506
Web Designing,0.4017565
Web Designing,0.3810588
Web Designing,0.26103488
Accountant,0.4200357
Accountant,0.5046825
Accountant,0.4359459
Advocate,0.41269144
Advocate,0.47116286
Advocate,0.37533572
Agriculture,0.33055943
Agriculture,0.40837115
Agriculture,0.3623204
Apparel,0.4057684
Apparel,0.39375615
Apparel,0.43636364
Architecture,0.39038298
Architecture,0.3606899
Architecture,0.371596
Arts,0.31430963
Arts,0.37386465
Arts,0.26821348
Automobile,0.38242143
Automobile,0.39889252
Automobile,0.42513108
Aviation,0.39699602
Aviation,0.30347118
Aviation,0.44268256
BPO,0.3784836
BPO,0.40578586
BPO,0.44253486
Banking,0.41561055
Banking,0.42195424
Banking,0.4378063
Blockchain,0.3289041
Blockchain,0.39049527
Blockchain,0.27683997
Building and Construction,0.39542803
Building and Construction,0.44567007
Building and Construction,0.39509845
Business Analyst,0.43294472
Business Analyst,0.42047763
Business Analyst,0.36009628
Civil Engineer,0.45790702
Civil Engineer,0.3039294
Civil Engineer,0.30876368
Consultant,0.2403011
Consultant,0.4317732
Consultant,0.42670578
Data Science,0.33047116
Data Science,0.42474335
Data Science,0.37185708
Database,0.39929932
Database,0.42765775
Database,0.38454098
Designing,0.25332704
Designing,0.31695163
Designing,0.35914248
DevOps,0.33631343
DevOps,0.39145726
DevOps,0.39045346
Digital Media,0.326981
Digital Media,0.36086792
Digital Media,0.34680882
DotNet Developer,0.35369956
DotNet Developer,0.38699207
DotNet Developer,0.40296417
ETL Developer,0.34404123
ETL Developer,0.33699602
ETL Developer,0.39380044
